City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
95,Huescar,ES,37.811,-2.5412,50.94,55,36,2.73,scattered clouds,2021-10-05 05:47:10
96,Opuwo,NA,-18.0607,13.84,68.04,20,7,3.11,clear sky,2021-10-05 05:47:10
97,Kavaratti,IN,10.5669,72.642,81.99,77,94,3.09,light rain,2021-10-05 05:47:11
98,Tuatapere,NZ,-46.1333,167.6833,59.83,95,62,1.99,light rain,2021-10-05 05:47:11
99,Kenai,US,60.5544,-151.2583,37.15,83,1,0.0,clear sky,2021-10-05 05:47:12
100,Saskylakh,RU,71.9167,114.0833,30.11,94,100,14.23,overcast clouds,2021-10-05 05:47:12
101,Lata,PT,40.1629,-8.3327,63.05,84,95,2.98,overcast clouds,2021-10-05 05:47:12
102,Mahebourg,MU,-20.4081,57.7,77.25,83,75,3.44,broken clouds,2021-10-05 05:47:13
103,Narsaq,GL,60.9167,-46.05,30.42,52,0,4.65,clear sky,2021-10-05 05:47:13
104,Garowe,SO,8.4054,48.4845,84.72,51,7,18.52,clear sky,2021-10-05 05:47:14
105,Thompson,CA,55.7435,-97.8558,32.16,93,40,0.0,scattered clouds,2021-10-05 05:47:14
106,Punta Arenas,CL,-53.15,-70.9167,37.51,81,0,19.57,clear sky,2021-10-05 05:44:59
107,Baraboo,US,43.4711,-89.7443,63.81,90,90,0.0,overcast clouds,2021-10-05 05:47:15
108,Bethel,US,41.3712,-73.414,59.99,92,90,6.91,overcast clouds,2021-10-05 05:47:08
109,Cabo San Lucas,MX,22.8909,-109.9124,83.52,77,2,5.99,clear sky,2021-10-05 05:46:14
110,Bakel,SN,14.905,-12.4568,83.97,67,96,11.43,overcast clouds,2021-10-05 05:47:15
111,Taoudenni,ML,22.6783,-3.9836,86.94,13,0,7.96,clear sky,2021-10-05 05:47:16
112,Blagoveshchensk,RU,50.2667,127.5333,56.01,28,20,4.47,few clouds,2021-10-05 05:43:10
113,Glenwood Springs,US,39.5505,-107.3248,53.4,51,9,2.1,clear sky,2021-10-05 05:47:16
114,Zhanaozen,KZ,43.3,52.8,55.33,55,100,21.81,overcast clouds,2021-10-05 05:47:16
115,Paamiut,GL,61.994,-49.6678,37.87,63,6,4.5,clear sky,2021-10-05 05:47:17
116,Nyagan,RU,62.1406,65.3936,38.14,69,100,5.14,overcast clouds,2021-10-05 05:47:17
117,Praia,CV,14.9215,-23.5087,79.34,83,20,8.05,few clouds,2021-10-05 05:47:17
118,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,77,90,13.8,overcast clouds,2021-10-05 05:47:18
119,Simoes,BR,-7.5989,-40.8178,73.99,50,51,9.62,broken clouds,2021-10-05 05:47:18
120,Naryan-Mar,RU,67.6713,53.087,43.92,76,100,19.44,overcast clouds,2021-10-05 05:47:19
121,Samarai,PG,-10.6167,150.6667,81.46,76,91,9.22,overcast clouds,2021-10-05 05:47:19
122,Calamar,CO,10.2511,-74.9146,80.55,93,95,5.57,overcast clouds,2021-10-05 05:47:19
123,Fort Nelson,CA,58.8053,-122.7002,36.99,60,75,4.61,broken clouds,2021-10-05 05:47:20
124,Mareeba,AU,-17.0,145.4333,93.43,34,54,11.65,broken clouds,2021-10-05 05:47:20
125,Obera,AR,-27.4871,-55.1199,46.69,91,0,2.98,clear sky,2021-10-05 05:47:20
126,Vaini,TO,-21.2,-175.2,75.36,94,90,6.91,moderate rain,2021-10-05 05:47:21
127,Padang,ID,-0.9492,100.3543,87.85,66,99,6.24,overcast clouds,2021-10-05 05:47:21
128,Dillon,US,34.4166,-79.3712,71.94,94,95,5.3,overcast clouds,2021-10-05 05:45:19
129,Tembisa,ZA,-25.9964,28.2268,58.42,93,21,10.36,few clouds,2021-10-05 05:47:22
130,Upernavik,GL,72.7868,-56.1549,29.39,60,100,5.75,overcast clouds,2021-10-05 05:47:22
131,Arraial Do Cabo,BR,-22.9661,-42.0278,70.47,96,100,10.47,overcast clouds,2021-10-05 05:47:22
132,Kodiak,US,57.79,-152.4072,40.06,73,99,5.5,overcast clouds,2021-10-05 05:47:23
133,Komsomolskiy,UZ,40.4272,71.7189,61.52,41,88,2.3,overcast clouds,2021-10-05 05:47:23
134,Bilibino,RU,68.0546,166.4372,20.55,96,100,3.49,overcast clouds,2021-10-05 05:47:24
135,Sabang,ID,5.8933,95.3214,82.67,70,86,17.65,overcast clouds,2021-10-05 05:47:24
136,Plavsk,RU,53.7094,37.2919,45.18,84,100,5.5,overcast clouds,2021-10-05 05:47:24
137,Qaanaaq,GL,77.484,-69.3632,26.91,95,100,9.53,light snow,2021-10-05 05:47:25
138,Lebu,CL,-37.6167,-73.65,48.51,83,100,18.37,overcast clouds,2021-10-05 05:47:25
139,Khatanga,RU,71.9667,102.5,31.68,98,100,13.89,light snow,2021-10-05 05:47:25
140,Waycross,US,31.2136,-82.354,72.32,97,1,0.0,clear sky,2021-10-05 05:47:26
141,Faya,SA,18.3851,42.4509,69.91,30,43,6.6,scattered clouds,2021-10-05 05:47:26
142,Hasaki,JP,35.7333,140.8333,82.8,71,43,18.9,scattered clouds,2021-10-05 05:47:26
143,Laguna,US,38.421,-121.4238,76.82,42,1,0.0,clear sky,2021-10-05 05:47:27
144,Gat,IL,31.61,34.7642,75.9,59,10,4.16,clear sky,2021-10-05 05:47:27
145,Pevek,RU,69.7008,170.3133,28.83,94,100,18.72,light snow,2021-10-05 05:47:28
146,Sao Filipe,CV,14.8961,-24.4956,79.11,80,8,8.5,clear sky,2021-10-05 05:47:28
147,San Felipe,VE,10.3399,-68.7425,72.81,98,72,1.07,broken clouds,2021-10-05 05:47:28
148,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,53.58,55,0,5.93,clear sky,2021-10-05 05:47:29
149,Emerald,AU,-23.5333,148.1667,91.54,13,1,12.66,clear sky,2021-10-05 05:47:29
150,Fortuna,US,40.5982,-124.1573,53.42,75,90,6.91,overcast clouds,2021-10-05 05:47:30
151,Saint George,US,37.1041,-113.5841,72.95,32,1,1.99,clear sky,2021-10-05 05:45:33
152,Leningradskiy,RU,69.3833,178.4167,25.0,95,100,1.21,overcast clouds,2021-10-05 05:47:30
153,Pamplona,ES,42.8169,-1.6432,58.96,87,75,0.0,broken clouds,2021-10-05 05:47:31
154,San Quintin,MX,30.4833,-115.95,69.3,80,55,7.54,broken clouds,2021-10-05 05:47:31
155,Namatanai,PG,-3.6667,152.4333,82.54,75,98,6.49,light rain,2021-10-05 05:47:31
156,Tyup,KG,42.7276,78.3648,49.32,53,96,4.29,overcast clouds,2021-10-05 05:47:32
157,Coquimbo,CL,-29.9533,-71.3436,51.53,87,0,5.75,clear sky,2021-10-05 05:47:32
158,Port-Gentil,GA,-0.7193,8.7815,76.96,94,90,5.75,overcast clouds,2021-10-05 05:47:32
159,Mandera,KE,3.9366,41.867,83.05,56,79,12.17,broken clouds,2021-10-05 05:47:33
160,Forbes,AU,-33.3833,148.0167,64.92,38,5,15.21,clear sky,2021-10-05 05:47:33
161,Ponta Do Sol,PT,32.6667,-17.1,70.43,69,84,6.26,broken clouds,2021-10-05 05:47:34
162,Berlevag,NO,70.8578,29.0864,53.55,66,75,24.16,broken clouds,2021-10-05 05:47:34
163,Provideniya,RU,64.3833,-173.3,39.31,87,90,11.18,light rain,2021-10-05 05:47:35
164,Anadyr,RU,64.75,177.4833,34.3,93,75,17.0,light snow,2021-10-05 05:47:35
165,Vangaindrano,MG,-23.35,47.6,74.71,72,39,3.71,light rain,2021-10-05 05:47:35
166,Kurkino,RU,53.4257,38.6582,44.38,87,100,8.21,overcast clouds,2021-10-05 05:47:36
167,Trujillo,PE,-8.116,-79.03,61.39,90,76,6.11,broken clouds,2021-10-05 05:47:36
168,Wilmington,US,34.2257,-77.9447,78.85,95,1,0.0,mist,2021-10-05 05:45:46
