City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Mongo,TD,2021-09-29 04:23:57,12.1844,18.693,77.16,75,98,1.74
91,Puerto Quijarro,BO,2021-09-29 04:23:58,-17.7833,-57.7667,79.54,47,0,2.44
92,Mar Del Plata,AR,2021-09-29 04:21:43,-38.0023,-57.5575,52.88,93,1,8.99
93,Northam,GB,2021-09-29 04:23:58,51.0333,-4.2167,55.29,83,4,18.61
94,Druzhba,UA,2021-09-29 04:23:58,52.0428,33.9453,41.65,82,98,7.38
95,Ribeira Grande,PT,2021-09-29 04:21:50,38.5167,-28.7,72.0,88,16,13.69
96,Qaanaaq,GL,2021-09-29 04:21:25,77.484,-69.3632,26.8,77,100,3.51
97,Tigil,RU,2021-09-29 04:23:25,57.8,158.6667,37.81,82,100,18.86
98,Antibes,FR,2021-09-29 04:23:59,43.5624,7.1278,66.56,76,0,5.75
99,Hilo,US,2021-09-29 04:21:06,19.7297,-155.09,75.25,91,75,3.44
100,Beringovskiy,RU,2021-09-29 04:21:49,63.05,179.3167,32.25,55,95,7.83
101,Arvi,IN,2021-09-29 04:24:00,20.9833,78.2333,79.29,82,77,7.27
102,Berlevag,NO,2021-09-29 04:24:00,70.8578,29.0864,50.0,71,93,11.99
103,Kailua,US,2021-09-29 04:20:07,21.4022,-157.7394,80.58,71,40,11.5
104,Storforshei,NO,2021-09-29 04:22:19,66.4043,14.5233,50.67,91,100,5.26
105,Marsa Matruh,EG,2021-09-29 04:24:01,31.3525,27.2453,71.8,88,40,6.91
106,Bollnas,SE,2021-09-29 04:24:01,61.3482,16.3946,51.13,98,100,3.06
107,Wajima,JP,2021-09-29 04:24:01,37.4,136.9,83.08,50,40,5.75
108,Butaritari,KI,2021-09-29 04:21:06,3.0707,172.7902,83.28,74,73,18.34
109,Lavrentiya,RU,2021-09-29 04:21:13,65.5833,-171.0,32.09,98,100,8.03
110,Soe,ID,2021-09-29 04:24:02,-9.8607,124.284,89.44,27,7,9.69
111,Kiruna,SE,2021-09-29 04:24:02,67.8557,20.2251,40.12,87,71,8.05
112,Aberdeen,GB,2021-09-29 04:24:02,57.1437,-2.0981,46.2,96,100,2.3
113,Hai Duong,VN,2021-09-29 04:23:15,20.9333,106.3167,89.6,61,0,2.71
114,Narsaq,GL,2021-09-29 04:23:12,60.9167,-46.05,35.82,41,0,7.34
115,Kaitangata,NZ,2021-09-29 04:21:34,-46.2817,169.8464,50.94,77,70,10.83
116,Korla,CN,2021-09-29 04:21:32,41.7597,86.1469,75.25,16,89,5.28
117,Luderitz,NA,2021-09-29 04:21:52,-26.6481,15.1594,52.56,84,0,14.94
118,Lompoc,US,2021-09-29 04:21:13,34.6391,-120.4579,60.78,80,1,6.91
119,Sorong,ID,2021-09-29 04:24:03,-0.8833,131.25,83.64,76,88,5.1
120,Bathsheba,BB,2021-09-29 04:21:16,13.2167,-59.5167,77.61,94,20,6.91
121,Isangel,VU,2021-09-29 04:21:14,-19.55,169.2667,76.24,69,75,15.01
122,Saskylakh,RU,2021-09-29 04:21:41,71.9167,114.0833,29.19,77,100,4.99
123,Kaoma,ZM,2021-09-29 04:24:04,-14.7833,24.8,65.88,44,21,3.96
124,Kirakira,SB,2021-09-29 04:21:46,-10.4544,161.9205,83.35,74,72,7.78
125,Bambous Virieux,MU,2021-09-29 04:21:33,-20.3428,57.7575,75.45,64,40,18.41
126,Siero,ES,2021-09-29 04:24:05,43.3833,-5.6667,60.17,89,100,3.98
127,Cabo San Lucas,MX,2021-09-29 04:21:29,22.8909,-109.9124,82.51,76,9,3.0
128,Ukiah,US,2021-09-29 04:24:05,39.1502,-123.2078,59.36,72,1,0.0
129,Lebu,CL,2021-09-29 04:21:08,-37.6167,-73.65,46.04,83,35,4.34
130,Ancud,CL,2021-09-29 04:22:20,-41.8697,-73.8203,40.53,79,100,3.76
131,Pimentel,PE,2021-09-29 04:24:06,-6.8367,-79.9342,63.05,86,6,8.84
132,San Juan,AR,2021-09-29 04:24:06,-31.5375,-68.5364,68.72,30,0,4.59
133,Port Elizabeth,ZA,2021-09-29 04:22:17,-33.918,25.5701,57.49,72,40,13.8
134,Westport,US,2021-09-29 04:22:12,41.1415,-73.3579,64.74,85,90,7.0
135,Nikolskoye,RU,2021-09-29 04:20:51,59.7035,30.7861,48.87,73,100,2.62
136,Aykhal,RU,2021-09-29 04:23:13,66.0,111.5,31.39,59,100,5.99
137,Davila,PH,2021-09-29 04:24:07,18.4726,120.5763,89.58,69,54,6.87
138,Contai,IN,2021-09-29 04:24:08,21.7786,87.7536,78.3,90,100,15.9
139,Namie,JP,2021-09-29 04:24:08,37.4833,141.0,80.71,74,85,1.01
140,Hobart,AU,2021-09-29 04:20:18,-42.8794,147.3294,56.05,63,40,1.01
141,Sangar,RU,2021-09-29 04:24:08,63.9242,127.4739,42.58,46,2,0.76
142,Yulara,AU,2021-09-29 04:24:09,-25.2406,130.9889,82.24,20,0,6.91
