City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
395,Francisco Beltrao,BR,53.67,few clouds,-26.0811,-53.055,Francisco Beltrão
396,Aktau,KZ,50.58,overcast clouds,43.65,51.2,Aktau
399,Carbonear,CA,46.11,overcast clouds,47.7332,-53.2148,Carbonear
400,Sembe,CG,70.88,overcast clouds,1.6481,14.5806,Sembe
401,Karla,EE,51.57,clear sky,59.3723,24.9275,Rae
402,Saldanha,ZA,55.45,clear sky,-33.0117,17.9442,Saldanha
404,Ankang,CN,66.27,overcast clouds,32.68,109.0172,Ankang
406,Skibbereen,IE,46.2,clear sky,51.55,-9.2667,Skibbereen
407,Lydenburg,ZA,63.39,broken clouds,-25.0978,30.4597,Lydenburg
409,Stornoway,GB,50.94,scattered clouds,58.2093,-6.3865,Stornoway
412,Rosetta,EG,73.45,clear sky,31.4044,30.4164,Rasheed
414,Mata,PT,59.94,overcast clouds,40.683,-7.4592,Mosteiro
416,Northam,GB,53.65,light rain,51.0333,-4.2167,Bideford
417,Birjand,IR,72.07,clear sky,32.8663,59.2211,Birjand
418,Beira,MZ,73.49,light rain,-19.8436,34.8389,Beira
419,Matay,EG,70.95,clear sky,28.419,30.7792,Matay
423,Laje,BR,67.59,clear sky,-10.1833,-40.9667,Laje
425,Lauterbach,DE,52.12,moderate rain,50.6333,9.4,Lauterbach
426,Lasa,IT,56.28,light rain,46.6166,10.7002,Schlanders
428,Luderitz,,57.74,clear sky,-26.6481,15.1594,Luderitz
430,Palmeira,BR,54.75,overcast clouds,-25.4294,-50.0064,Palmeira
431,Nantucket,US,61.14,overcast clouds,41.2835,-70.0995,Nantucket
432,East Islip,US,63.0,overcast clouds,40.732,-73.1857,Brentwood
434,Vredendal,ZA,63.03,clear sky,-31.6683,18.5012,Vredendal
438,Maragogi,BR,73.31,broken clouds,-9.0122,-35.2225,Maragogi
442,Constitucion,CL,49.37,clear sky,-35.3333,-72.4167,Constitución
443,Avera,US,71.47,overcast clouds,33.194,-82.5271,Avera
449,Ascension,US,73.4,clear sky,30.2169,-90.9001,Gonzales
450,Nazret,ET,66.85,light rain,8.55,39.2667,Adama
451,Wabana,CA,45.07,overcast clouds,47.6332,-52.9481,Wabana
453,Bedele,ET,60.94,light rain,8.456,36.353,Bedele
459,Puquio,PE,53.67,overcast clouds,-14.7,-74.1333,C.p Puquio
460,Pisticci,IT,69.13,clear sky,40.3906,16.5568,Pisticci
464,Elban,RU,50.36,scattered clouds,50.1018,136.5094,El'ban
467,Marystown,CA,46.85,broken clouds,47.1666,-55.1483,Marystown
469,Richards Bay,ZA,64.44,overcast clouds,-28.783,32.0377,Richards Bay
472,Sinop,TR,52.23,light rain,41.7711,34.8709,Türkmen
473,Rodrigues Alves,BR,71.8,overcast clouds,-7.738,-72.6509,Rodrigues Alves
474,Vallenar,CL,57.54,clear sky,-28.5708,-70.7581,Vallenar
476,Westport,US,62.8,overcast clouds,41.1415,-73.3579,Norwalk
477,Te Anau,NZ,57.13,overcast clouds,-45.4167,167.7167,Te Anau
478,Port Hardy,CA,48.2,overcast clouds,50.6996,-127.4199,Port Hardy
479,Xining,CN,49.24,overcast clouds,36.6167,101.7667,Xining
481,Gardabani,GE,57.29,overcast clouds,41.4605,45.0928,Rustavi
483,Channel-Port Aux Basques,CA,50.92,scattered clouds,47.5702,-59.1367,Channel-Port aux Basques
484,Maridi,SS,71.82,light rain,4.9158,29.4742,Maridi
487,El Reno,US,66.74,clear sky,35.5323,-97.955,El Reno
489,Beaupre,CA,48.81,clear sky,47.0443,-70.8953,Sainte-Anne-de-Beaupré
490,Cerqueira Cesar,BR,60.22,overcast clouds,-23.0356,-49.1661,Cerqueira César
491,Mount Gambier,AU,58.91,scattered clouds,-37.8333,140.7667,Mount Gambier
495,Ornskoldsvik,SE,49.82,mist,63.2909,18.7153,Örnsköldsvik
496,Bulawayo,ZW,61.77,overcast clouds,-20.15,28.5833,Bulawayo
500,Roswell,US,69.39,moderate rain,34.0232,-84.3616,Sandy Springs
504,Chichihualco,MX,64.53,overcast clouds,17.6833,-99.65,Chichihualco
508,Zemio,CF,73.38,overcast clouds,5.0314,25.1361,Zemio
510,Flinders,AU,67.8,clear sky,-34.5833,150.8552,Wollongong
513,Prieska,ZA,53.44,scattered clouds,-29.6641,22.7474,Prieska
523,Litovko,RU,53.31,clear sky,49.2361,135.1742,Ukrainka
525,Ponta Delgada,PT,73.51,scattered clouds,37.7333,-25.6667,Ponta Delgada
527,Kropotkin,RU,47.53,moderate rain,45.4375,40.5756,Kropotkin
531,Eskil,TR,55.29,clear sky,38.4017,33.4131,Eskil
532,Andenes,NO,49.98,few clouds,69.3143,16.1194,Andenes
533,Vitina,BA,45.97,clear sky,43.2375,17.4839,Grabovnik
539,Crotone,IT,71.37,clear sky,39.0851,17.1178,Crotone
542,Talara,PE,65.01,overcast clouds,-4.5772,-81.2719,Talara
544,Pilar,BR,69.73,broken clouds,-9.5972,-35.9567,Pilar
545,Caravelas,BR,73.09,few clouds,-17.7125,-39.2481,Caravelas
546,Oktyabrskoye,RU,46.54,overcast clouds,43.0645,44.7417,Vladikavkaz
547,Los Zacatones,MX,60.64,overcast clouds,22.95,-102.05,Los Zacatones
548,Talin,EE,51.94,clear sky,59.437,24.7535,Tallinn
550,San Borja,BO,68.34,overcast clouds,-14.8167,-66.85,
556,Hudson Bay,CA,46.54,overcast clouds,52.85,-102.3842,Hudson Bay
557,Yumen,CN,61.29,broken clouds,40.2833,97.2,Jiuquan
559,Sao Joao Da Barra,BR,71.56,moderate rain,-21.6403,-41.0511,Grussaí
561,Algiers,DZ,60.62,few clouds,36.7525,3.042,Algiers
562,Benemerito De Las Americas,MX,70.7,scattered clouds,16.5167,-90.6439,Benemérito de las Américas
566,Unity,CA,50.25,overcast clouds,52.4501,-109.1682,Unity
567,Zambezi,ZM,72.66,overcast clouds,-13.5432,23.1047,Zambezi
569,Victor Harbor,AU,66.47,few clouds,-35.5667,138.6167,Victor Harbor - Goolwa
572,Hovd,MN,50.04,clear sky,48.0056,91.6419,Khovd
575,Benito Juarez,MX,62.01,broken clouds,19.385,-99.165,Mexico City
577,Portland,US,60.75,clear sky,45.5234,-122.6762,Portland
579,Elko,US,58.64,broken clouds,41.0002,-115.5012,
580,Raudeberg,NO,55.2,overcast clouds,61.9875,5.1352,Måløy
583,Rochester,US,63.12,overcast clouds,43.1548,-77.6156,Rochester
588,Chiredzi,ZW,64.33,overcast clouds,-21.05,31.6667,Chiredzi
589,Gurupa,BR,72.61,overcast clouds,-1.405,-51.64,Gurupá
590,Port Hawkesbury,CA,53.58,clear sky,45.6169,-61.3485,Port Hawkesbury
591,Tocopilla,CL,59.56,few clouds,-22.092,-70.1979,Tocopilla
593,Bereda,ES,62.42,overcast clouds,43.2686,-7.5406,A Feira do Monte
595,Pueblo Nuevo,MX,54.93,scattered clouds,23.3833,-105.3833,Valle de la Bufa
598,Maruntei,RO,51.39,few clouds,44.2,24.4667,Drăgănești-Olt
599,Bosilegrad,RS,51.06,clear sky,42.5011,22.4724,Bosilegrad
600,Brigantine,US,71.02,overcast clouds,39.4101,-74.3646,Atlantic City
601,Farah,AF,74.1,clear sky,32.5,62.5,
602,Sistranda,NO,55.9,overcast clouds,63.7256,8.834,Sistranda
603,Praia Da Vitoria,PT,71.85,few clouds,38.7333,-27.0667,Praia da Vitória
605,Viedma,AR,46.72,broken clouds,-40.8135,-62.9967,Viedma
606,Asosa,ET,64.56,overcast clouds,10.0667,34.5333,Asosa
608,Atlantic City,US,71.02,overcast clouds,39.3643,-74.4229,Atlantic City
613,San Jose,US,72.34,smoke,37.3394,-121.895,San Jose
615,Adolfo Lopez Mateos,MX,58.15,overcast clouds,28.4667,-107.3,La Junta
619,Oranjemund,,57.6,clear sky,-28.55,16.4333,Oranjemund
620,Ada,US,65.66,clear sky,43.4166,-116.1262,Leone
621,Ust-Barguzin,RU,47.3,few clouds,53.45,108.9833,Ust-Barguzin
623,Dongsheng,CN,47.25,moderate rain,39.8161,109.9776,Ordos City
